name,parkCode,state,longitude,latitude,totalSites,tentOnly,electricalHookups,showers,dumpStation,host,potableWater,firewoodForSale,reservationUrl
Dump Station,grba,,-114.215989,39.006544,0,0,0,['None'],No,Yes - seasonal,['Yes - seasonal'],No,
Dunbar Group Site,indu,IN,-87.00171411,41.68266003,1,10,0,['None'],No,No,['No water'],No,https://www.recreation.gov/camping/campgrounds/10177496
Duncan Bay Campground,isro,MI,-88.52247087,48.15063311,3,1,0,['None'],No,No,"['Water', ' but not potable']",No,
Duncan Narrows Campground,isro,MI,-88.47796476,48.16931212,3,1,0,['None'],No,No,"['Water', ' but not potable']",No,
Dundo Group Campground,shen,VA,-78.7216,38.2341,3,3,0,['None'],No,No,"['Water', ' but not potable']",No,https://www.recreation.gov/camping/campgrounds/252470
Dunewood Campground,indu,IN,-86.983786,41.671966,66,66,0,"['Hot - Seasonal', 'Cold- Seasonal', 'Free - Seasonal']",Yes - seasonal,Yes - seasonal,['Yes - seasonal'],No,https://www.recreation.gov/camping/campgrounds/258887
Dyea Campground,klgo,,-135.3504976,59.5072499,22,3,0,['None'],No,Yes - seasonal,['No water'],No,
East Chickenbone Campground,isro,MI,-88.69425862,48.07343751,4,3,0,['None'],No,No,"['Water', ' but not potable']",No,
East Elk Creek Group Campground,cure,,-107.188333,38.484167,1,0,0,['None'],No,No,['Yes - seasonal'],No,https://www.recreation.gov/camping/campgrounds/234057
East Portal Campground,cure,,-107.649484,38.5270596,15,10,0,['None'],No,No,['Yes - seasonal'],No,
East Portal Campground,blca,CO,-107.649306,38.526896,15,10,0,['None'],No,No,['Yes - seasonal'],No,
Echo Bay Campground (Lake Mead),lake,NV,-114.4368979,36.30813734,52,52,0,['None'],Yes - year round,Yes - seasonal,['Yes - year round'],No,
Echo Bay RV Park (Lake Mead),lake,,-114.4319983,36.31007554,55,0,55,[],,,[],,
Echo Park Campground,dino,CO,-108.9932307,40.52086684,22,17,0,['None'],No,No,['Yes - seasonal'],No,https://www.recreation.gov/camping/campgrounds/259557
El Morro Campground,elmo,NM,-108.3368121,35.03689365,9,0,0,['None'],No,No,['Yes - seasonal'],No,
Elk Creek Campground,cure,,-107.1720668,38.46742028,160,14,27,['None'],Yes - year round,Yes - seasonal,['Yes - seasonal'],No,https://www.recreation.gov/camping/campgrounds/234053
Elk Mountain Campground,wica,SD,-103.4882345,43.56547072,61,62,0,['None'],No,No,['Yes - seasonal'],Yes - year round,https://www.recreation.gov/camping/campgrounds/246878
Elk Prairie Campgound,redw,CA,-124.0294328,41.35982485,75,21,0,"['Hot - Year Round', 'Free - Year Round']",No,Yes - seasonal,['Yes - year round'],Yes - year round,https://www.reservecalifornia.com/CaliforniaWebHome/
Elkmont Campground,grsm,TN,-83.58274047,35.65875715,220,23,0,['None'],No,Yes - seasonal,['Yes - seasonal'],Yes - seasonal,https://www.recreation.gov/camping/campgrounds/232487
Elkmont Group Campground,grsm,TN,-83.58638187,35.65967585,4,4,0,['None'],Yes - seasonal,Yes - seasonal,['Yes - seasonal'],Yes - seasonal,https://www.recreation.gov/camping/campgrounds/232436
Elliott Key Campground,bisc,,-80.19588509,25.45358451,20,20,0,[],,,[],,
Emigrant Campground,deva,CA,-117.2277348,36.49652304,10,10,0,['None'],No,No,['Yes - year round'],No,
Erbie Campground,buff,AR,-93.2149369,36.071327,21,2,0,['None'],No,No,['No water'],No,
Esker Campsite,kaww,ME,-68.67959099,45.90839601,1,1,0,['None'],No,No,['No water'],No,https://www.recreation.gov/camping/campgrounds/10145539
Eureka Dunes Campground (Primitive),deva,CA,-117.6809,37.112,7,0,0,['None'],No,No,['No water'],No,
Evans Campground,laro,WA,-118.0176515,48.69881815,43,3,0,['None'],Yes - seasonal,Yes - seasonal,['Yes - seasonal'],No,https://www.recreation.gov/camping/campgrounds/10064643
Evans Group Site,laro,WA,-118.018959,48.701517,1,0,0,['None'],Yes - seasonal,Yes - seasonal,['Yes - seasonal'],No,https://www.recreation.gov/camping/campgrounds/234065
Evitts Creek Hiker-Biker Campsite,choh,MD,-78.73259,39.616979,1,0,0,['None'],No,No,['Yes - seasonal'],No,
Exit Glacier Campground,kefj,AK,-149.6181202,60.19096824,12,12,0,['None'],No,No,['Yes - seasonal'],No,
Fairholme Campground,olym,WA,-123.9181384,48.07008,88,0,0,['None'],Yes - seasonal,Yes - seasonal,['Yes - seasonal'],Yes - seasonal,https://www.recreation.gov/camping/campgrounds/259084
Feldtmann Lake Campground,isro,MI,-89.18297186,47.84857314,7,5,0,['None'],No,No,"['Water', ' but not potable']",No,
Fifteenmile Creek Campground,choh,,-78.38559865,39.62530305,10,1,0,['None'],No,No,['Yes - seasonal'],No,https://www.recreation.gov/camping/campgrounds/252968
Finnegan's Point,klgo,AK,-135.3348773,59.575423,6,6,0,['None'],No,No,"['Water', ' but not potable']",No,http://www.nps.gov/klgo/planyourvisit/permits.htm
Fish Creek,glac,MT,-113.9829627,48.55013132,178,4,0,['Hot - Seasonal'],Yes - seasonal,Yes - seasonal,['Yes - seasonal'],No,https://www.recreation.gov/camping/campgrounds/232493
Fishing Bridge RV Park,yell,WY,-110.3694723,44.56475525,310,0,310,['None'],Yes - seasonal,Yes - seasonal,['Yes - seasonal'],No,https://secure.yellowstonenationalparklodges.com/booking/lodging
Flamingo Campground,ever,FL,-80.938773,25.137212,274,274,41,"['Free - Year Round', 'Hot - Year Round']",Yes - year round,Yes - year round,['Yes - year round'],Yes - year round,https://flamingoeverglades.com/camping/
Fort Casey State Park,ebla,WA,-122.6740096,48.15686107,0,0,0,[],,,[],,
Fort Charlotte Backcountry Campgrounds,grpo,MN,-89.8283403,48.0036881,2,2,0,['None'],No,No,"['Water', ' but not potable']",No,https://www.nps.gov/grpo/planyourvisit/fort-charlotte-camping-permit-application.htm
Fort Ebey State Park,ebla,WA,-101.6289341,35.64741989,0,0,0,[],,,[],,
Fort Pickens Campground,guis,FL,-87.27597278,30.32320835,200,20,200,['Hot - Year Round'],Yes - year round,Yes - year round,['Yes - year round'],No,
Fort Spokane Campground,laro,WA,-118.3059187,47.91057784,67,4,0,['None'],Yes - seasonal,Yes - seasonal,['Yes - seasonal'],No,https://www.recreation.gov/camping/campgrounds/234062
Fort Spokane Group Sites,laro,WA,-118.311859,47.908742,2,0,0,['None'],Yes - seasonal,Yes - seasonal,['Yes - seasonal'],No,https://www.recreation.gov/camping/campgrounds/234069
Fort Wadsworth Campsite,gate,,-74.054771,40.599998,7,7,0,"['Hot - Seasonal', 'Free - Seasonal']",No,No,['Yes - seasonal'],No,https://www.recreation.gov/camping/campgrounds/234715
Frijole Horse Corral Campground,gumo,,-104.7998494,31.89952244,1,1,0,['None'],No,No,['Yes - year round'],No,https://www.recreation.gov/camping/campgrounds/10104621
Frisco Campground,caha,NC,-75.603357,35.237075,117,3,0,"['Cold- Seasonal', 'Free - Seasonal']",No,Yes - seasonal,['Yes - seasonal'],No,https://www.recreation.gov/camping/campgrounds/251430
Fritch Fortress,lamr,TX,-101.5983113,35.68174578,15,0,0,['Hot - Year Round'],Yes - year round,No,['Yes - year round'],No,
Fruita Campground,care,UT,-111.2480979,38.28256074,71,7,0,['None'],Yes - year round,Yes - seasonal,['Yes - year round'],Yes - seasonal,https://www.recreation.gov/camping/campgrounds/272245
Furnace Creek Campground,deva,CA,-116.868826,36.4630684,136,45,18,['None'],Yes - year round,Yes - seasonal,['Yes - year round'],No,https://www.recreation.gov/camping/campgrounds/232496
Garden Key Campground,drto,FL,-82.87340644,24.62701096,8,8,0,['None'],No,Yes - year round,['No water'],No,
Gates of Lodore Campground,dino,CO,-108.8878244,40.72492348,19,0,0,['None'],No,Yes - seasonal,['Yes - seasonal'],No,
Gateview Campground,cure,,-107.2428749,38.38445788,6,6,0,['None'],No,No,['Yes - seasonal'],No,
Gator Head,bicy,FL,-81.26775567,26.22381755,9,9,0,['None'],No,Yes - seasonal,['No water'],No,
Gauley Tailwaters,gari,,-80.88885152,38.21439035,18,0,0,['None'],No,No,['No water'],No,
Gifford Campground,laro,WA,-118.1427996,48.28585757,42,0,0,['None'],Yes - seasonal,Yes - seasonal,['Yes - seasonal'],No,https://www.recreation.gov/camping/campgrounds/10064687
Gifford Group Site,laro,WA,-118.143881,48.288223,1,0,0,['None'],Yes - seasonal,Yes - seasonal,['Yes - seasonal'],No,https://www.recreation.gov/camping/campgrounds/234067
Glacier Basin Campground,romo,CO,-105.5956293,40.32980715,150,73,0,['None'],Yes - seasonal,Yes - seasonal,['Yes - seasonal'],Yes - seasonal,https://www.recreation.gov/camping/campgrounds/232462
Glade Creek Campground,neri,WV,-81.013398,37.829446,11,6,0,['None'],No,No,['No water'],No,
Glen Campground,pore,CA,-122.7884879,37.98931071,12,12,0,['None'],No,No,['Yes - year round'],No,https://www.recreation.gov/camping/campgrounds/233359
Goat Island Primitive Camping,mnrr,NE,-97.066858,42.765746,2,2,0,['None'],No,No,['No water'],No,
Gold Bluffs Beach Campground,redw,CA,-124.0698822,41.38221739,26,0,0,"['Hot - Year Round', 'Free - Year Round']",No,Yes - seasonal,['Yes - year round'],Yes - seasonal,https://www.reservecalifornia.com/CaliforniaWebHome/
Goodell Creek Campground,noca,WA,-121.267,48.673,19,0,0,['None'],No,No,['Yes - seasonal'],No,https://www.recreation.gov/camping/campgrounds/246852
Gorge Lake Campground,noca,,-121.152,48.716,8,8,0,['None'],No,No,['No water'],No,https://www.recreation.gov/camping/campgrounds/10004932
Governors Landing Campground,amis,,-101.0288632,29.47907637,15,0,0,['None'],No,No,['Yes - year round'],No,https://www.nps.gov/amis/planyourvisit/camping.htm
Grace Island Campground,isro,MI,-89.21635637,47.88249029,2,0,0,['None'],No,No,"['Water', ' but not potable']",No,
Grand Pitch Lean-to,kaww,,-68.748256,46.057785,1,0,0,['None'],No,No,['No water'],No,https://www.recreation.gov/camping/campgrounds/10145539
Grand Sable Lake Boat-In Site,piro,,-86.03197349,46.64323548,1,1,0,['None'],No,No,"['Water', ' but not potable']",No,https://www.recreation.gov/camping/campgrounds/256367
Grandview Sandbar,neri,WV,-81.051906,37.857116,16,6,0,['None'],No,No,['No water'],No,
Grant Village Campground,yell,WY,-110.563445,44.39425335,430,0,0,['None'],Yes - seasonal,Yes - seasonal,['Yes - seasonal'],Yes - seasonal,https://secure.yellowstonenationalparklodges.com/booking/lodging
Grapevine Campground,bica,,-107.9406716,45.31804611,14,6,0,['None'],Yes - seasonal,Yes - seasonal,['Yes - seasonal'],No,
Grass Shack,sagu,AZ,-110.592818,32.183854,0,0,0,[],,,[],,
Graves Creek Campground,olym,WA,-123.5767954,47.57383109,30,0,0,['None'],No,Yes - seasonal,['No water'],No,
Great Island Cabin Camp,calo,NC,-76.41222219,34.76055561,23,0,0,['Hot - Seasonal'],Yes - seasonal,Yes - seasonal,['Yes - seasonal'],No,https://www.recreation.gov/camping/campgrounds/233332
Green Island Primitive Camping,mnrr,,-97.412217,42.8633666,5,5,0,['None'],No,No,['No water'],No,
Green River Campground,dino,UT,-109.2431757,40.42097747,80,0,0,['None'],No,Yes - seasonal,['Yes - seasonal'],No,https://www.recreation.gov/camping/campgrounds/234777
Greenbelt Park Campground,gree,MD,-76.89841,38.97908,172,30,0,"['Hot - Year Round', 'Free - Year Round']",Yes - year round,Yes - year round,['Yes - year round'],No,https://www.recreation.gov/camping/campgrounds/232474
Grey Cliffs Campground,grba,,-114.219121,38.99115,16,0,0,['None'],No,No,['No water'],No,https://www.recreation.gov/camping/campgrounds/251958
Gros Ventre Campground,grte,WY,-110.665884,43.61590783,279,0,39,['None'],Yes - seasonal,Yes - seasonal,['Yes - seasonal'],Yes - seasonal,https://www.recreation.gov/camping/campgrounds/247661
Group Campsite,care,UT,-111.2514,38.2789,1,0,0,['None'],Yes - year round,Yes - seasonal,['Yes - seasonal'],Yes - seasonal,https://www.recreation.gov/camping/campgrounds/251709
Guadalupe Peak Wilderness Campground,gumo,,-104.8515811,31.89349639,5,5,0,['None'],No,No,['No water'],No,https://www.recreation.gov/permits/4675328
Gulpha Gorge Campground,hosp,AR,-93.0360478,34.5243631,40,0,40,['None'],Yes - year round,Yes - year round,['Yes - year round'],No,https://www.recreation.gov/camping/campgrounds/247559
Gunter Hill Campground,semo,,-86.452365,32.358663,0,0,0,[],,,[],,
Guy Sandy Campground,chic,,-97.0523038,34.45618449,40,3,0,['None'],No,No,['Yes - seasonal'],No,
Haag Cove Campground,laro,WA,-118.1518042,48.56066088,18,6,0,['None'],No,No,['No water'],No,https://www.recreation.gov/camping/campgrounds/275082
Halls Crossing RV & Campground,glca,UT,-110.7182014,37.4577994,72,41,31,['None'],Yes - seasonal,Yes - seasonal,['Yes - seasonal'],Yes - seasonal,https://www.lakepowell.com/rv-camping/halls-crossing-rv-campground/
Happy Valley Saddle,sagu,AZ,-110.518452,32.154022,0,0,0,[],,,[],,
Harbor Bay Campground,lamr,,-101.6289832,35.64785605,25,0,0,['None'],No,No,['No water'],No,
Harlequin Campground,noca,,-120.7137,48.3468,7,0,0,['None'],No,No,['No water'],No,https://www.recreation.gov/camping/campgrounds/10101324
Haskell Campsite,kaww,,-68.768473,46.073046,1,1,0,['None'],No,No,['No water'],No,https://www.recreation.gov/camping/campgrounds/10145539
Haskell Hut,kaww,ME,-68.77007903,46.07962365,1,0,0,['None'],No,No,['No water'],No,https://www.recreation.gov/camping/campgrounds/10145539
Hatchet Lake Campground,isro,MI,-88.85081645,48.02113448,8,5,0,['None'],No,No,"['Water', ' but not potable']",No,
Hawk Campground,goga,CA,-122.5206461,37.85415754,3,3,0,['None'],No,No,['No water'],No,https://www.recreation.gov/camping/campgrounds/258815
Hawk Creek Campground,laro,WA,-118.3249519,47.81516448,20,0,0,['None'],No,No,['No water'],No,https://www.recreation.gov/camping/campgrounds/275091
Hay Bay Campground,isro,MI,-88.93999433,47.93386908,1,1,0,['None'],No,No,"['Water', ' but not potable']",No,
Haypress Campground,goga,CA,-122.5464545,37.86078512,6,5,0,['None'],No,No,['No water'],No,https://www.recreation.gov/camping/campgrounds/10067346
Headwaters Campground,grte,WY,-110.6710202,44.10589806,171,34,0,['Hot - Seasonal'],Yes - seasonal,Yes - seasonal,['Yes - seasonal'],Yes - seasonal,https://www.recreation.gov/camping/campgrounds/258832
Heart O' the Hills Campground,olym,WA,-123.4299673,48.03626643,97,0,0,['None'],No,Yes - seasonal,['Yes - year round'],Yes - seasonal,
Hickory Hill Wilderness Campsite,cuis,,-81.4514,30.8327,4,4,0,['None'],No,No,"['Water', ' but not potable']",No,https://www.recreation.gov/camping/campgrounds/253730
Hidden Valley Campground,jotr,,-116.162737,34.01718844,44,0,0,['None'],No,No,['No water'],No,
Hite Outpost Adventure Center - Closed until further notice,glca,UT,-110.381007,37.87686,35,21,14,['None'],Yes - year round,No,['Yes - seasonal'],No,
"Hite Primitive (Dirty Devil, Farley, White Canyon) camping",glca,AZ,-110.399782,37.864131,0,0,0,['None'],No,No,"['Water', ' but not potable']",No,
Hodgdon Meadow Campground,yose,,-119.8670331,37.79988245,103,68,0,['None'],No,Yes - seasonal,['Yes - year round'],No,https://www.recreation.gov/camping/campgrounds/232451
Hoh Campground,olym,WA,-123.9355401,47.8583525,78,0,0,['None'],No,Yes - seasonal,['Yes - year round'],Yes - seasonal,http://www.recreation.gov/camping/campgrounds/247592
Hole-in-the-Wall Campground,moja,CA,-115.3935652,35.04602382,35,2,0,['None'],Yes - year round,Yes - seasonal,['Yes - year round'],No,
Homestake Campground (Primitive),deva,CA,-117.5738,36.6376,10,0,0,['None'],No,No,['No water'],No,
Horse Camp,whis,CA,-122.5313889,40.57611111,2,3,0,['None'],No,No,['Yes - year round'],No,https://www.recreation.gov/camping/campgrounds/272244
Horse camping,asis,MD,-75.157471,38.192821,2,6,0,"['Cold- Seasonal', 'Free - Seasonal']",Yes - year round,Yes - seasonal,['Yes - seasonal'],Yes - seasonal,
Horsepen Branch Hiker-Biker Campsite,choh,MD,-77.398038,39.06938,1,1,0,['None'],No,No,['Yes - seasonal'],No,
Horseshoe Bend Campground,bica,WY,-108.26,44.96,68,0,28,['None'],Yes - seasonal,Yes - seasonal,['Yes - seasonal'],No,http://www.horseshoebend-marina.com
Horseshoe Bend Hiker-Biker Campsite,choh,MD,-77.774341,39.486903,1,1,0,['None'],No,No,['Yes - seasonal'],No,
Hosmer Grove Campground,hale,HI,-156.237592,20.768155,6,6,0,['None'],No,No,['Yes - year round'],No,https://www.recreation.gov/camping/campgrounds/10068557
Houchin Ferry Campground,maca,KY,-86.2377215,37.2016901,12,12,0,['None'],No,No,['Yes - year round'],No,https://www.recreation.gov/camping/campgrounds/258992
Hovenweep Campground,hove,CO,-109.070815,37.38320327,31,0,0,['None'],No,No,['Yes - seasonal'],No,
Hozomeen Campground,noca,,-121.0711,48.9871,75,0,0,['None'],No,No,['Yes - seasonal'],No,
Huckleberry Hill Hiker-Biker Campsite,choh,MD,-77.75747,39.34152,0,0,0,[],,,[],,
Huginnin Cove Campground,isro,MI,-89.17647822,47.93427202,5,5,0,['None'],No,No,"['Water', ' but not potable']",No,
Hunters Campground,laro,WA,-118.231332,48.1255473,37,0,0,['None'],Yes - seasonal,Yes - seasonal,['Yes - seasonal'],No,https://www.recreation.gov/camping/campgrounds/10064730
Hunters Group Sites,laro,WA,-118.230877,48.12544,3,0,0,['None'],Yes - seasonal,Yes - seasonal,['Yes - seasonal'],No,https://www.recreation.gov/camping/campgrounds/234068
Hurricane River Campground,piro,MI,-86.1661587,46.663953,21,0,0,['None'],No,Yes - seasonal,['Yes - seasonal'],No,https://www.recreation.gov/camping/campgrounds/247603
Igloo Creek,dena,,-149.5833581,63.60969752,7,7,0,['None'],No,No,['No water'],No,https://www.reservedenali.com
Indian Cove Campground,jotr,CA,-116.1588536,34.09346715,101,0,0,['None'],No,Yes - seasonal,['No water'],No,https://www.recreation.gov/camping/campgrounds/232472
Indian Creek Campground,yell,WY,-110.7360686,44.88702325,70,0,0,['None'],No,Yes - seasonal,['Yes - seasonal'],No,https://www.recreation.gov/camping/campgrounds/259304
Indian Flats Hiker-Biker Campsite,choh,MD,-77.462711,39.233516,0,0,0,[],,,[],,
Indian Well Campground,labe,CA,-121.5041447,41.71747074,43,0,0,['None'],No,Yes - seasonal,['Yes - year round'],Yes - seasonal,
Indigo Neck Hiker-Biker Campsite,choh,MD,-78.358666,39.626697,1,1,0,['None'],No,No,['Yes - seasonal'],No,
Intermediate Lake Campground,isro,MI,-88.72265855,48.0337769,3,3,0,['None'],No,No,"['Water', ' but not potable']",No,
Irons Mountain Hiker-Biker Campsite,choh,MD,-78.735584,39.587479,0,0,0,['None'],No,No,['Yes - seasonal'],No,
Island Mine Campground,isro,MN,-89.03997478,47.93022395,6,4,0,['None'],No,No,"['Water', ' but not potable']",No,
Island in the Sky (Willow Flat) Campground,cany,UT,-109.8881293,38.38338072,12,0,0,['None'],No,No,['No water'],No,
Jedediah Smith Campground,redw,CA,-124.0864474,41.79572648,86,22,0,['Coin-Operated - Year Round'],Yes - year round,Yes - seasonal,['Yes - year round'],Yes - seasonal,http://www.parks.ca.gov/?page_id=413
"Jeff Busby Campground, Milepost 193.1",natr,MS,-89.26737098,33.41716405,18,0,0,['None'],No,Yes - seasonal,['Yes - year round'],No,
Jenny Lake Campground,grte,WY,-110.7193935,43.7552632,61,51,0,"['Coin-Operated - Seasonal', 'None']",No,Yes - seasonal,['Yes - seasonal'],Yes - seasonal,https://www.recreation.gov/camping/campgrounds/247664
Jones Bay Campground,laro,WA,-118.5828334,47.91989955,9,0,0,['None'],No,No,['No water'],No,https://www.recreation.gov/camping/campgrounds/275092
Jordan Junction Hiker-Biker Campsite,choh,MD,-77.85283,39.609192,1,1,0,['None'],No,No,['Yes - seasonal'],No,
Julian Price Park Campground,blri,NC,-81.76526987,36.12034935,190,90,0,['Hot - Seasonal'],Yes - seasonal,Yes - seasonal,['Yes - seasonal'],Yes - seasonal,https://www.recreation.gov/camping/campgrounds/234037
Jumbo Rocks Campground,jotr,CA,-116.0592518,33.99075645,124,0,0,['None'],No,No,['No water'],No,https://www.recreation.gov/camping/campgrounds/272300
Juniper Basin,sagu,AZ,-110.644513,32.182818,0,0,0,[],,,[],,
Juniper Campground,thro,,-103.3331568,47.59524746,50,9,0,['None'],Yes - seasonal,Yes - seasonal,['Yes - seasonal'],No,https://www.recreation.gov/camping/campgrounds/72481
Juniper Family Campground,band,NM,-106.2790454,35.79533819,52,5,0,['None'],Yes - seasonal,Yes - seasonal,['Yes - year round'],Yes - year round,https://www.recreation.gov/camping/campgrounds/233395
Juniper Lake Campground,lavo,CA,-121.2964616,40.44964866,18,0,0,['None'],No,No,"['Water', ' but not potable']",No,https://www.recreation.gov/camping/campgrounds/234524
Kalaloch Campround,olym,,-124.3750741,47.61270536,170,0,0,['None'],Yes - year round,Yes - seasonal,['Yes - year round'],Yes - seasonal,https://www.recreation.gov/camping/campgrounds/232464
Kamloops Island Campground,laro,WA,-118.1170088,48.67832415,17,9,0,['None'],No,No,['No water'],No,https://www.recreation.gov/camping/campgrounds/275029
Katahdin Brook Lean-to,kaww,,-68.76288037,45.92040076,1,0,0,['None'],No,No,['No water'],No,https://www.recreation.gov/camping/campgrounds/10145539
Katherine Landing Campground (Lake Mohave),lake,,-114.5567772,35.22317569,0,0,0,[],,,[],,
Katherine Landing RV Park (Lake Mohave),lake,,-114.5620069,35.22234391,0,0,0,[],,,[],,
Kendesnii Campground,wrst,AK,-143.258776,62.52982,10,0,0,['None'],No,No,['No water'],No,
Kettle Falls Campground,laro,WA,-118.1235713,48.60151765,74,0,0,['None'],Yes - seasonal,Yes - seasonal,['Yes - seasonal'],No,https://www.recreation.gov/camping/campgrounds/234061
Kettle River Campground,laro,WA,-118.1226873,48.71593087,13,0,0,['None'],No,No,['No water'],No,https://www.recreation.gov/camping/campgrounds/275028
Killiansburg Cave Hiker-Biker Campsite,choh,MD,-77.796583,39.459202,1,1,0,['None'],No,No,['Yes - seasonal'],No,
Kintla Lake,glac,MT,-114.34593,48.93574521,13,0,0,['None'],Yes - seasonal,Yes - seasonal,['Yes - seasonal'],No,
Kirby Cove Campground,goga,CA,-122.4903935,37.82790212,6,5,0,['None'],No,No,['No water'],No,https://www.recreation.gov/camping/campgrounds/232491
Kulanaokuaiki,havo,HI,-155.2740764,19.34366665,9,9,0,['None'],No,No,['No water'],No,
Kyles Landing,buff,AR,-93.2807539,36.0557786,33,33,0,['None'],No,No,['Yes - seasonal'],No,
Kīpahulu Campground,hale,HI,-156.044492,20.659705,9,9,0,['None'],No,No,['No water'],No,https://www.recreation.gov/camping/campgrounds/10068563
Lake Fork Campground,cure,,-107.3269812,38.45482531,90,4,0,['Hot - Seasonal'],Yes - seasonal,Yes - seasonal,['Yes - seasonal'],No,https://www.recreation.gov/camping/campgrounds/234054
Lake Mead RV Village (Lake Mead),lake,,-114.800453,36.03503,115,0,115,[],,,[],,https://lakemeadmohaveadventures.com/lake-mead-rv-village/
Lake Richie Campground,isro,MI,-88.68736052,48.05134221,6,4,0,['None'],No,No,"['Water', ' but not potable']",No,
Lake Richie Canoe Campground,isro,MI,-88.70018996,48.04382454,3,3,0,['None'],No,No,"['Water', ' but not potable']",No,
Lake Whittlesey Campground,isro,MI,-88.70708523,48.00762855,3,3,0,['None'],No,No,"['Water', ' but not potable']",No,
Lakeview Campground,noca,,-120.6544,48.3079,9,9,0,['None'],No,No,['Yes - seasonal'],No,https://www.recreation.gov/camping/campgrounds/10101333?tab=info
Lane Cove Campground,isro,MI,-88.55767855,48.14490683,5,5,0,['None'],No,No,"['Water', ' but not potable']",No,
Las Vegas Bay Campground (Lake Mead),lake,NV,-114.8725697,36.12784459,85,85,0,['None'],Yes - year round,Yes - seasonal,['Yes - year round'],No,
Lava Flow Campground,crmo,ID,-113.5591319,43.46070031,42,0,0,['None'],No,No,['Yes - seasonal'],No,
Lava Point Campground,zion,,-113.0328457,37.38387909,6,6,0,['None'],No,Yes - seasonal,['No water'],No,
Lees Ferry Campground,glca,AZ,-111.6062747,36.85934702,54,0,0,['None'],Yes - seasonal,Yes - seasonal,['Yes - year round'],No,
Leopards Mill Hiker-Biker Campsite,choh,MD,-78.2401552,39.65192764,1,1,0,['None'],No,No,['Yes - seasonal'],No,
Lewis Lake Campground,yell,WY,-110.6279873,44.28220565,85,0,0,['None'],No,Yes - seasonal,['Yes - seasonal'],No,https://www.recreation.gov/camping/campgrounds/259309
Lewis Mountain Campground,shen,VA,-78.478096,38.43556,30,0,0,['Coin-Operated - Seasonal'],No,Yes - seasonal,['Yes - seasonal'],Yes - seasonal,
Licking Creek Hiker-Biker Campsite,choh,MD,-78.048776,39.650294,0,0,0,[],,,[],,
Linville Falls Campground,blri,NC,-81.93262407,35.96715245,64,14,0,['None'],Yes - seasonal,Yes - seasonal,['Yes - seasonal'],Yes - seasonal,https://www.recreation.gov/camping/campgrounds/234036
Little Beaver Lake Campground,piro,MI,-86.3638,46.5575,8,0,0,['None'],No,No,['Yes - seasonal'],No,https://www.recreation.gov/camping/campgrounds/246856
Little Pool Hiker-Biker Campsite,choh,MD,-78.113125,39.684776,0,0,0,[],,,[],,
Little Todd Campground,isro,MI,-88.92666555,48.02025596,4,4,0,['None'],No,No,"['Water', ' but not potable']",No,
Lizard Creek Campground,grte,WY,-110.6886593,44.00346925,60,0,0,['None'],No,Yes - seasonal,['Yes - seasonal'],Yes - seasonal,https://www.recreation.gov/camping/campgrounds/247785
Locust Grove Group Sites,laro,WA,-118.114979,48.592901,2,0,0,['None'],Yes - seasonal,Yes - seasonal,['Yes - seasonal'],No,https://www.recreation.gov/camping/campgrounds/234066
Lodgepole Campground,seki,CA,-118.726883,36.60577263,214,76,0,['None'],Yes - seasonal,Yes - seasonal,['Yes - seasonal'],Yes - seasonal,https://www.recreation.gov/camping/campgrounds/232461
Loft Mountain Campground,shen,VA,-78.670701,38.246415,207,50,0,['Coin-Operated - Seasonal'],Yes - seasonal,Yes - seasonal,['Yes - seasonal'],Yes - seasonal,https://www.recreation.gov/camping/campgrounds/232433
Logging Creek,glac,MT,-114.1916556,48.69845476,7,0,0,['None'],No,No,['No water'],No,
Lone Rock Beach Primitive Camping Area,glca,AZ,-111.5403466,37.01615993,5000,0,0,"['Cold- Seasonal', 'Free - Seasonal']",Yes - seasonal,Yes - seasonal,['Yes - seasonal'],No,
Long Pine Key Campground,ever,FL,-80.65696978,25.39790023,108,108,0,"['Free - Year Round', 'Hot - Year Round']",Yes - year round,Yes - seasonal,['Yes - year round'],No,https://flamingoeverglades.com/camping/
Longleaf Campground,cong,,-80.82739767,33.83571775,14,14,0,['None'],No,No,['No water'],No,https://www.recreation.gov/camping/campgrounds/10190876
Longs Peak Campground,romo,,-105.5577043,40.27479364,26,26,0,['None'],No,Yes - seasonal,['No water'],No,
Look Rock Campground,grsm,TN,-83.93614247,35.63690475,68,5,10,['None'],Yes - seasonal,Yes - seasonal,['Yes - seasonal'],No,https://www.recreation.gov/camping/campgrounds/10207636
"Lost Creek Campground, elevation 6,000 feet (1,829 meters)",crla,OR,-122.0387112,42.87974939,16,16,0,['None'],No,No,['No water'],No,
Lost Creek Group Campground,lavo,CA,-121.5177188,40.56184114,8,0,0,['None'],No,No,['Yes - seasonal'],No,https://www.recreation.gov/camping/campgrounds/234042
Lower Goodell Creek Group Campground,noca,WA,-121.2713645,48.67657476,2,0,0,['None'],No,No,['No water'],No,https://www.recreation.gov/camping/campgrounds/234088
Lower Lehman Campground,grba,,-114.23798,39.01737,11,0,0,['None'],No,No,['No water'],No,
Lower Pines Campground,yose,CA,-119.5663138,37.73946589,73,0,0,['None'],No,Yes - seasonal,['Yes - seasonal'],No,https://www.recreation.gov/camping/campgrounds/232450
